# H_HI, H_HeI, H_HeII
1.149261412668697137e-29,3.226534496349138823e-28,2.512599627594542704e-28
1.972433368392379067e-29,5.539346532089443702e-28,4.315116650249463975e-28
2.997598684223955424e-29,8.421188543296645511e-28,6.562360581300128068e-28
4.196535736792649534e-29,1.179321863681307666e-27,9.193265719170511481e-28
5.537114220232646418e-29,1.556539250501156471e-27,1.213785437774252505e-27
6.985611655889659289e-29,1.964297290596335632e-27,1.532230894108521208e-27
8.507247922170794913e-29,2.392805367479357454e-27,1.867017641046635900e-27
1.006583754783028994e-28,2.831861421217891483e-27,2.210165651149494603e-27
1.162316666847152543e-28,3.270680532468506312e-27,2.553229543130209317e-27
1.313850457037515789e-28,3.697761727910093225e-27,2.887198135547766992e-27
1.456856802112997850e-28,4.100882398607622390e-27,3.202493831060560897e-27
1.586821498857713454e-28,4.467297964969211533e-27,3.489132256510091609e-27
1.699209137476480095e-28,4.784209385741663133e-27,3.737090736766352483e-27
1.789733556489721163e-28,5.039527540997932443e-27,3.936907867430120556e-27
1.854722460530984241e-28,5.222901286802773671e-27,4.080487832076716001e-27
1.891532799251839105e-28,5.326886657637683066e-27,4.162013480357327534e-27
1.898939544071080540e-28,5.348039439095639073e-27,4.178798088648041286e-27
1.877399308343156268e-28,5.287654149698537098e-27,4.131859900193080692e-27
1.829098899894319478e-28,5.151897201933823742e-27,4.026023191694266491e-27
1.757745258943236130e-28,4.951212639136858856e-27,3.869451720971554386e-27
1.668125589863555777e-28,4.699082250540470850e-27,3.672679032275695862e-27
1.565534784677890073e-28,4.410413561699110199e-27,3.447349351122379505e-27
1.455199768156425637e-28,4.099920249256892094e-27,3.204953469699057252e-27
1.341814530860381797e-28,3.780814607259344207e-27,2.955808720007126440e-27
1.229248858484763766e-28,3.463988860529156536e-27,2.708420629153621763e-27
1.120435922651329724e-28,3.157699539216926376e-27,2.469237087052819375e-27
1.017402347240495464e-28,2.867652428350760499e-27,2.242714939444413249e-27
9.213875537092532024e-29,2.597338455621529859e-27,2.031582238603263174e-27
8.330024728603760764e-29,2.348480181749360126e-27,1.837186694711516260e-27
7.523912239246806090e-29,2.121486576724929142e-27,1.659850544310777650e-27
6.793745808376694868e-29,1.915856554940098203e-27,1.499185426185775010e-27
6.135662874178085808e-29,1.730506152773604969e-27,1.354347686602094676e-27
5.544612211045189641e-29,1.564016542345575865e-27,1.224231929977006063e-27
5.014985847884694416e-29,1.414811822304229894e-27,1.107609789242314297e-27
4.541048927272791862e-29,1.281279984988574604e-27,1.003224365975986967e-27
4.117216059793895004e-29,1.161850710594018560e-27,9.098509862808180053e-28
3.738216540381132034e-29,1.055041899894275558e-27,8.263335625451597651e-28
3.399182309549402628e-29,9.594844724845394081e-28,7.516039920135401355e-28
3.095684248738302332e-29,8.739326262612691695e-28,6.846902053502056040e-28
2.823735345327992397e-29,7.972647710095979396e-28,6.247169321669054630e-28
2.579773713655584357e-29,7.284787888898136854e-28,5.709020338244220752e-28
2.360634307461873188e-29,6.666841075320327950e-28,5.225503435385080039e-28
2.163515163783607570e-29,6.110922291421949783e-28,4.790462967673407408e-28
1.985941915794427560e-29,5.610067677141765811e-28,4.398461735266746955e-28
1.825732870267759690e-29,5.158136408748291796e-28,4.044704578016816017e-28
1.680965977632659895e-29,4.749717906305075652e-28,3.724966067255664126e-28
1.549948387355231835e-29,4.380046285165477728e-28,3.435523826276583314e-28
1.431188874914400543e-29,4.044922862270446283e-28,3.173098116880498547e-28
1.323373174994286577e-29,3.740646819285048819e-28,2.934797775557656878e-28
1.225342106947746413e-29,3.463953705896419256e-28,2.718072255453436259e-28
