# H_HI_1, H_HI_2, H_HI3
2.843845859720564477e-31,3.674289361818431386e-31,3.674289361818429985e-30
2.696206347318557435e-31,3.720937932107952815e-31,3.720937932107951939e-30
2.557946665021759605e-31,3.767396327242993599e-31,3.767396327242992898e-30
2.428364707898949655e-31,3.813665201365198892e-31,3.813665201365200994e-30
2.306818631462411111e-31,3.859745261967461860e-31,3.859745261967462123e-30
2.192721042646581865e-31,3.905637265686927035e-31,3.905637265686922393e-30
2.085533809381129866e-31,3.951342014369968630e-31,3.951342014369966178e-30
1.984763417000067413e-31,3.996860351391486567e-31,3.996860351391485692e-30
1.889956808684833034e-31,4.042193158211864916e-31,4.042193158211864040e-30
1.800697654906727560e-31,4.087341351156343111e-31,4.087341351156340133e-30
1.716603003578584275e-31,4.132305878402299132e-31,4.132305878402298957e-30
1.637320268488894115e-31,4.177087717161189252e-31,4.177087717161188902e-30
1.562524518695232633e-31,4.221687871042500682e-31,4.221687871042501383e-30
1.491916036001669364e-31,4.266107367588229108e-31,4.266107367588228932e-30
1.425218111526045870e-31,4.310347255966822235e-31,4.310347255966820484e-30
1.362175055753985980e-31,4.354408604816591968e-31,4.354408604816592143e-30
1.302550399442800071e-31,4.398292500229027836e-31,4.398292500229023982e-30
1.246125265336650125e-31,4.442000043863106438e-31,4.442000043863106263e-30
1.192696892932761811e-31,4.485532351182517530e-31,4.485532351182515077e-30
1.142077300539070644e-31,4.528890549807772936e-31,4.528890549807770834e-30
1.094092070622402663e-31,4.572075777976277630e-31,4.572075777976278505e-30
1.048579245994290506e-31,4.615089183103392392e-31,4.615089183103392392e-30
1.005388325745681029e-31,4.657931920438239136e-31,4.657931920438235282e-30
9.643793510453056704e-32,4.700605151808376577e-31,4.700605151808376052e-30
9.254220719796388540e-32,4.743110044447755076e-31,4.743110044447757003e-30
8.883951875524825566e-32,4.785447769902788612e-31,4.785447769902788437e-30
8.531856517946076157e-32,4.827619503011733061e-31,4.827619503011728331e-30
8.196880396716215212e-32,4.869626420952756994e-31,4.869626420952757169e-30
