# SFRs_2, SFR1s_2, SFR2s_2
6.254710633159792088e-03,1.515268380109755821e-02,4.063630760769208067e-02
5.205454706150500037e-03,1.297534856871515249e-02,3.594901388538995074e-02
4.316823947733490659e-03,1.107419607857747755e-02,3.170776803888671058e-02
3.567522513328230671e-03,9.421137227683736015e-03,2.788543941595729436e-02
2.938368551892699305e-03,7.989593347335365026e-03,2.445388437111904040e-02
2.412245932997927975e-03,6.754711108727214780e-03,2.138457381878796498e-02
1.974011420784604551e-03,5.693490824043571930e-03,1.864911258693676896e-02
1.610371441684015949e-03,4.784844334571498013e-03,1.621966067052128813e-02
1.309739939678043362e-03,4.009596917579578111e-03,1.406926662422670893e-02
1.062086441931691392e-03,3.350445860037085024e-03,1.217212321760098581e-02
8.587813875382012668e-04,2.791886605104381899e-03,1.050375515764691466e-02
6.924440027522382832e-04,2.320115723481700528e-03,9.041148211930527534e-03
5.567965242525155581e-04,1.922918427774093081e-03,7.762828480155647276e-03
4.465273559347500464e-04,1.589546953485022115e-03,6.648899899161292947e-03
3.571647677490070939e-04,1.310594884953937382e-03,5.681047355463500481e-03
2.849619780975333840e-04,1.077871410937721779e-03,4.842512046133369899e-03
2.267938748832057665e-04,8.842785494311675067e-04,4.118044994008855653e-03
1.800651960625666316e-04,7.236935774883723055e-04,3.493843904026300382e-03
1.426296820909613689e-04,5.908582292139146538e-04,2.957477857265365922e-03
1.127195060498810116e-04,4.812756719558768754e-04,2.497803688287092080e-03
8.888416141777656350e-05,3.911158243543800444e-04,2.104877286769639942e-03
6.993792415651438105e-05,3.171292273227744067e-04,1.769862511030263546e-03
5.491498960311562921e-05,2.565694075491331159e-04,1.484939901312483856e-03
4.303140276636004688e-05,2.071234705945856815e-04,1.243216935443958952e-03
3.365294259686923967e-05,1.668505158819047843e-04,1.038641177876722986e-03
2.626817830397308086e-05,1.341273685791656404e-04,8.659173332842206531e-04
2.046598233794344647e-05,1.076010644546648333e-04,7.204289249963080188e-04
1.591685529936569946e-05,8.614749519887418918e-05,5.981650731613864574e-04
1.235748912815300825e-05,6.883561656587849963e-05,4.956526437773663401e-04
9.578063867892774570e-06,5.489663411560277055e-05,4.098938735485592672e-04
7.411838346379774736e-06,4.369760644355221427e-05,3.383094427528812492e-04
5.726655171748001099e-06,3.471893954974119190e-05,2.786868648455786642e-04
4.418034933527183430e-06,2.753528518704466763e-05,2.291339834381055985e-04
3.403583214330011024e-06,2.179939808754689738e-05,1.880373108529268433e-04
2.618477027244049880e-06,1.722854992524503904e-05,1.540249042209769850e-04
2.011834849587077315e-06,1.359314026080658910e-05,1.259334519182619017e-04
1.543806898935354319e-06,1.070718546554420920e-05,1.027792322134958277e-04
1.183250134947582661e-06,8.420405008874842147e-06,8.373260482687288838e-05
9.058761443156834067e-07,6.611660056073218901e-06,6.809570250684224009e-05
6.927800535613933409e-07,5.183531811354412025e-06,5.528300184722206108e-05
5.292753771292376375e-07,4.057856366676630294e-06,4.480446880602894982e-05
4.039736798662406784e-07,3.172059010519476676e-06,3.625099342658100144e-05
3.080595113725078782e-07,2.476154130578459500e-06,2.928184901357497907e-05
2.347206132391500650e-07,1.930297185555864339e-06,2.361393260508180960e-05
1.787012267844581029e-07,1.502792936339417783e-06,1.901256531324059266e-05
1.359527169298467781e-07,1.168479447760602761e-06,1.528365244858155013e-05
