# SFRs, SFR1s, SFR2s
5.705187283638454214e-05,2.363432916855655362e-04,1.182991142906146759e-03
4.508780241995242089e-05,1.925102687823505008e-04,9.991214753148390873e-04
3.555366456711057390e-05,1.564463297417522400e-04,8.419509147078570394e-04
2.797516966260576123e-05,1.268516909291101313e-04,7.079450044121058522e-04
2.196599584124626117e-05,1.026277630196532572e-04,5.939759605249934774e-04
1.721256110654403434e-05,8.284938823783435664e-05,4.972867741775810870e-04
1.346117703874773009e-05,6.674020635276206820e-05,4.154564711506891295e-04
1.050727132158922387e-05,5.365094743166629276e-05,3.463669333136884022e-04
8.186392935177392818e-06,4.304042578186590892e-05,2.881715699985226546e-04
6.366742119746277072e-06,3.445899807954974750e-05,2.392660292645543715e-04
4.942995651261199065e-06,2.753424662635141205e-05,1.982610575109463138e-04
3.831225547157105424e-06,2.195865364624111229e-05,1.639575494194234792e-04
2.964735338551911250e-06,1.747904257742089791e-05,1.353237771011523533e-04
2.290662068699200694e-06,1.388757581989650420e-05,1.114747459382313871e-04
1.767213973410875108e-06,1.101411407481788501e-05,9.165359337524226380e-05
1.361433285732004325e-06,8.719759235018766406e-06,7.521492434117078613e-05
1.047390810897618427e-06,6.891419970098012738e-06,6.160996168839088074e-05
8.047339398348322600e-07,5.437256104322637841e-06,5.037338076730482573e-05
6.175227595741411557e-07,4.282874186217676734e-06,4.111169288539844355e-05
4.733000539790328843e-07,3.368162003549936689e-06,3.349304193074913503e-05
3.623504577262731827e-07,2.644664022429286036e-06,2.723828100273690349e-05
2.771120214245567858e-07,2.073412724541768537e-06,2.211320073888881562e-05
2.117101508516952509e-07,1.623142546670654362e-06,1.792178752241159145e-05
1.615894719464960490e-07,1.268823604207785969e-06,1.450039737063240803e-05
1.232238045490032360e-07,9.904616522313838845e-07,1.171273960543000823e-05
9.388824529565996247e-08,7.721188742223431308e-07,9.445573042032693009e-06
7.148049071378316967e-08,6.011171745357651652e-07,7.605026125296225883e-06
5.438108677193870199e-08,4.673917791042411681e-07,6.113460979432622087e-06
4.134436733061166066e-08,3.629682149861525570e-07,4.906809559159120881e-06
3.141352373193207137e-08,2.815402376484924259e-07,3.932317883897396884e-06
2.385460136919760008e-08,2.181300958819952734e-07,3.146641626184699439e-06
1.810530565038657259e-08,1.688157530149287688e-07,2.514243065621356100e-06
1.373536881424129763e-08,1.305123979963261125e-07,2.006045589622163097e-06
1.041592171016225325e-08,1.007978521236946494e-07,1.598307520088163610e-06
7.895864891599545760e-09,7.777337049233720889e-08,1.271682083405697814e-06
5.983669100405801160e-09,5.995290820696639080e-08,1.010434842972989781e-06
4.533379230270033521e-09,4.617521968561153117e-08,8.017939091526616219e-07
3.433866677605972578e-09,3.553422822888715443e-08,6.354117662774836497e-07
2.600587606480879937e-09,2.732397975646485293e-08,5.029206478602980364e-07
1.969271142928400392e-09,2.099521123718250131e-08,3.975660882462483360e-07
1.491091557084242509e-09,1.612114812674858095e-08,3.139056201128358297e-07
1.128979826368005886e-09,1.237061916395377817e-08,2.475616098147552096e-07
8.548087586969346530e-10,9.486960599196496470e-09,1.950189620910350797e-07
6.472469774070309391e-10,7.271491615657516294e-09,1.534599153335801648e-07
4.901243921730297038e-10,5.570591918405474709e-09,1.206294191480621522e-07
3.711883473886566483e-10,4.265612461529389450e-09,9.472566534137299163e-08
2.811578436690035851e-10,3.265010349698575164e-09,7.431125707473136314e-08
